GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	SPÖ	ÖVP	FPÖ	GRÜNE	NEOS	PILZ	GILT	FLÖ	KPÖ	WEIßE	SLP	EUAUS	M	CPÖ	NBZ	ODP	
G41020	St. Marien	3755	2664	32	2632	735	878	639	68	171	86	39	2	10	2	2						
G41021	Traun	16066	10859	108	10751	4108	2281	3121	278	374	370	114	11	77	15	2						
G41022	Wilhering	4622	3367	34	3333	1003	1076	648	153	250	146	32	2	14	9	0						
G41099	Wahlkarten - Linz-Land	0	12811	86	12725	4130	3779	2408	672	801	629	163	17	88	32	6						
G41100	Perg	52523	44740	607	44133	12722	15123	11222	1285	1744	1314	422	33	187	73	8						
G41101	Allerheiligen im Mühlkreis	984	780	10	770	196	305	202	14	23	22	5	1	1	1	0						
G41102	Arbing	1141	855	8	847	219	303	215	24	37	33	12	2	2	0	0						
G41103	Baumgartenberg	1342	956	11	945	157	351	352	18	37	25	1	1	2	1	0						
G41104	Dimbach	816	603	5	598	133	255	168	5	12	12	7	2	2	2	0						
G41105	Grein	2368	1548	22	1526	396	538	437	33	59	49	12	0	1	0	1						
G41106	Katsdorf	2443	1832	20	1812	563	564	412	74	106	57	20	0	15	1	0						
G41107	Klam	737	483	9	474	80	172	166	9	10	22	11	1	2	1	0						
G41108	Bad Kreuzen	1776	1262	30	1232	124	660	326	40	26	27	17	0	5	7	0						
G41109	Langenstein	1971	1509	19	1490	618	339	399	33	46	38	8	1	7	1	0						
G41110	Luftenberg an der Donau	3237	2351	25	2326	848	540	661	66	81	75	31	1	17	6	0						
G41111	Mauthausen	3642	2549	41	2508	997	604	587	74	145	67	19	0	10	4	1						
G41112	Mitterkirchen im Machland	1355	960	12	948	211	394	262	18	30	23	8	0	2	0	0						
G41113	Münzbach	1303	965	18	947	121	457	297	10	32	16	7	3	3	1	0						
G41114	Naarn im Machlande	2790	2169	34	2135	564	801	602	20	85	36	18	2	4	3	0						
G41115	Pabneukirchen	1329	966	13	953	165	426	283	17	34	15	8	1	2	1	1						
G41116	Perg	6196	4375	54	4321	1274	1387	1141	132	204	122	32	4	21	4	0						
G41117	Rechberg	756	592	4	588	82	347	92	13	14	30	5	0	1	4	0						
G41118	Ried in der Riedmark	3340	2495	27	2468	851	822	536	83	106	47	13	2	7	1	0						
G41119	St. Georgen am Walde	1673	1245	24	1221	320	465	345	13	27	34	9	2	5	1	0						
G41120	St. Georgen an der Gusen	3183	2400	33	2367	926	589	517	107	89	92	25	2	17	3	0						
G41121	St. Nikola an der Donau	559	404	4	400	84	184	92	9	12	11	5	0	2	1	0						
G41122	St. Thomas am Blasenstein	747	551	13	538	73	320	103	9	11	6	9	0	1	4	2						
G41123	Saxen	1420	1073	20	1053	247	340	347	22	45	28	20	0	2	2	0						
G41124	Schwertberg	3990	2918	47	2871	1057	777	695	88	105	103	26	2	7	10	1						
G41125	Waldhausen im Strudengau	2298	1676	21	1655	458	615	454	23	44	43	13	0	3	2	0						
G41126	Windhaag bei Perg	1127	811	11	800	125	373	218	22	27	23	4	2	2	3	1						
G41199	Wahlkarten - Perg	0	6412	72	6340	1833	2195	1313	309	297	258	77	4	44	9	1						
G41200	Ried im Innkreis	46489	37535	482	37053	7396	13392	11872	1243	1631	940	318	38	138	78	7						
G41201	Andrichsfurt	603	421	10	411	43	192	137	9	17	10	1	0	2	0	0						
G41202	Antiesenhofen	815	470	5	465	99	157	176	10	13	7	2	0	0	1	0						
G41203	Aurolzmünster	2291	1479	17	1462	324	425	582	25	53	23	16	2	7	4	1						
G41204	Eberschwang	2693	1804	22	1782	473	471	658	53	58	42	12	3	7	5	0						
G41205	Eitzing	633	447	7	440	89	167	144	11	18	5	2	0	3	1	0						
G41206	Geiersberg	434	281	7	274	47	117	86	10	7	2	0	0	4	1	0						
G41207	Geinberg	1083	642	10	632	95	238	242	15	18	14	6	0	1	3	0						
G41208	Gurten	942	586	4	582	114	225	198	11	11	14	7	0	2	0	0						
G41209	Hohenzell	1743	1224	19	1205	181	509	341	40	86	36	4	3	1	3	1						
G41210	Kirchdorf am Inn	489	363	5	358	53	172	116	6	8	2	0	0	1	0	0						
G41211	Kirchheim im Innkreis	578	430	8	422	55	175	158	5	12	11	2	1	0	3	0						
G41212	Lambrechten	1063	796	11	785	85	341	293	17	22	15	6	2	0	4	0						
G41213	Lohnsburg am Kobernaußerwald	1816	1201	11	1190	180	472	430	25	38	24	12	0	3	6	0						
G41214	Mehrnbach	1865	1161	18	1143	186	408	439	31	46	23	6	2	2	0	0						
G41215	Mettmach	1934	1360	18	1342	226	416	578	15	38	35	24	4	3	3	0						
G41216	Mörschwang	267	196	2	194	20	102	36	16	13	6	0	0	1	0	0						
G41217	Mühlheim am Inn	526	400	4	396	99	135	132	8	10	4	4	0	3	1	0						
G41218	Neuhofen im Innkreis	1914	1309	18	1291	293	448	384	51	74	27	5	1	6	2	0						
G41219	Obernberg am Inn	1131	644	5	639	147	159	275	21	17	14	5	0	0	1	0						
G41220	Ort im Innkreis	948	647	6	641	93	227	260	15	21	16	6	1	0	2	0						
G41221	Pattigham	718	511	5	506	80	215	157	12	19	17	6	0	0	0	0						
G41222	Peterskirchen	569	423	8	415	46	211	114	10	15	12	3	0	4	0	0						
G41223	Pramet	835	590	6	584	110	221	203	8	14	13	9	0	4	2	0						
G41224	Reichersberg	1139	781	11	770	132	295	284	17	22	16	4	0	0	0	0						
G41225	Ried im Innkreis	8352	5100	64	5036	1361	1420	1493	223	294	173	43	3	24	2	0						
G41226	St. Georgen bei Obernberg am Inn	454	333	2	331	45	186	71	5	13	10	1	0	0	0	0						
G41227	St. Marienkirchen am Hausruck	688	544	7	537	70	224	177	7	31	18	5	2	2	0	1						
G41228	St. Martin im Innkreis	1356	867	10	857	181	295	285	26	38	20	7	3	2	0	0						
G41229	Schildorn	954	631	5	626	136	239	181	16	28	12	8	0	5	1	0						
G41230	Senftenbach	589	413	8	405	83	151	126	6	24	8	4	0	1	2	0						
G41231	Taiskirchen im Innkreis	1946	1463	21	1442	249	595	435	59	56	24	12	2	6	3	1						
G41232	Tumeltsham	1243	838	11	827	128	335	260	30	48	18	6	1	1	0	0						
G41233	Utzenaich	1197	847	11	836	151	348	255	27	31	13	6	0	5	0	0						
G41234	Waldzell	1752	1237	26	1211	249	447	438	17	32	18	4	2	2	2	0						
G41235	Weilbach	472	330	3	327	44	159	99	10	8	4	1	1	1	0	0						
G41236	Wippenham	457	340	6	334	93	104	98	15	14	9	0	0	0	1	0						
G41299	Wahlkarten - Ried im Innkreis	0	6426	71	6355	1336	2391	1531	361	364	225	79	5	35	25	3						
G41300	Rohrbach	46100	38744	555	38189	7326	16575	9695	1251	1689	981	403	27	176	61	5						
G41301	Afiesl	317	248	4	244	42	90	85	3	10	7	6	0	0	1	0						
G41302	Ahorn	421	323	1	322	58	136	87	5	22	6	6	0	1	1	0						
G41304	Altenfelden	1815	1334	11	1323	261	471	410	39	73	36	26	1	4	2	0						
G41305	Arnreit	900	723	10	713	98	369	173	15	32	14	5	0	4	3	0						
G41306	Atzesberg	369	296	2	294	37	147	93	4	5	5	2	0	0	1	0						
G41307	Auberg	436	348	7	341	42	178	83	13	18	4	2	1	0	0	0						
G41309	Haslach an der Mühl	2061	1470	34	1436	429	510	318	63	58	33	13	1	9	2	0						
G41310	Helfenberg	780	582	9	573	142	203	156	17	24	17	9	0	4	1	0						
G41311	Hörbich	336	280	9	271	21	137	87	2	9	6	6	0	1	2	0						
G41312	Hofkirchen im Mühlkreis	1203	840	8	832	148	351	222	35	39	27	4	0	6	0	0						
G41313	Julbach	1271	901	12	889	265	338	217	7	36	16	9	1	0	0	0						
G41314	Kirchberg ob der Donau	870	641	10	631	142	258	173	11	28	9	4	0	5	1	0						
G41315	Klaffer am Hochficht	1077	770	3	767	159	295	273	14	12	12	1	0	1	0	0						
G41316	Kleinzell im Mühlkreis	1285	890	10	880	231	362	191	32	34	20	5	1	4	0	0						
G41317	Kollerschlag	1201	886	11	875	123	422	287	9	19	8	5	1	0	1	0						
G41318	Lembach im Mühlkreis	1260	879	17	862	161	360	256	20	28	22	13	1	1	0	0						
G41319	Lichtenau im Mühlkreis	417	279	6	273	38	143	77	6	5	3	0	0	1	0	0						
G41320	Nebelberg	498	398	6	392	99	194	72	7	8	9	1	0	2	0	0						
G41321	Neufelden	953	660	6	654	137	273	145	32	30	23	3	1	8	2	0						
G41322	Niederkappel	794	602	10	592	67	306	169	11	23	7	7	0	1	1	0						
G41323	Niederwaldkirchen	1468	1036	12	1024	169	477	233	29	61	36	12	1	5	1	0						
G41324	Oberkappel	520	357	10	347	34	196	86	5	10	10	4	0	0	2	0						
G41325	Oepping	1287	949	11	938	134	437	260	28	39	30	6	0	2	1	1						
G41326	Peilstein im Mühlviertel	1276	969	13	956	169	476	236	15	30	19	8	2	0	1	0						
G41327	Pfarrkirchen im Mühlkreis	1175	880	13	867	99	456	241	25	23	16	4	1	1	1	0						
G41328	Putzleinsdorf	1243	926	16	910	109	464	234	20	44	22	10	0	5	2	0						
G41329	Neustift im Mühlkreis	1151	803	14	789	153	434	126	23	31	12	5	1	2	2	0						
G41331	St. Johann am Wimberg	825	585	5	580	100	248	187	10	17	7	9	0	1	1	0						
G41332	St. Martin im Mühlkreis	2995	2195	33	2162	448	902	557	61	106	61	20	0	5	1	1						
G41333	St. Oswald bei Haslach	412	307	7	300	72	125	66	7	18	7	5	0	0	0	0						
G41334	St. Peter am Wimberg	1446	1086	18	1068	185	556	221	26	49	20	5	1	5	0	0						
G41335	St. Stefan am Walde	667	542	11	531	101	252	115	21	16	20	2	1	2	1	0						
G41336	St. Ulrich im Mühlkreis	497	387	6	381	56	171	86	22	26	12	4	0	4	0	0						
G41337	St. Veit im Mühlkreis	975	747	11	736	130	329	199	22	29	13	9	0	2	2	1						
G41338	Sarleinsbach	1845	1390	22	1368	191	690	331	58	54	21	14	0	4	5	0						
G41340	Schönegg	462	345	5	340	99	106	95	11	17	2	7	0	2	1	0						
G41341	Schwarzenberg am Böhmerwald	457	344	4	340	56	148	115	6	8	5	1	0	1	0	0						
G41342	Ulrichsberg	2362	1666	21	1645	333	666	476	47	65	36	13	1	7	1	0						
G41343	Aigen-Schlägl	2598	1705	19	1686	340	686	462	57	73	43	13	1	9	2	0						
G41344	Rohrbach-Berg	4175	2835	61	2774	507	1143	717	127	133	91	33	4	14	5	0						
G41399	Wahlkarten - Rohrbach	0	5340	57	5283	1141	2070	1078	286	327	214	92	6	53	14	2						
G41400	Schärding	44612	36866	409	36457	6829	14018	12115	971	1240	797	266	28	124	57	12						
G41401	Altschwendt	530	428	1	427	99	173	115	14	13	4	5	0	2	2	0						
G41402	Andorf	4074	3059	41	3018	666	992	1131	64	75	54	24	3	5	4	0						
G41403	Brunnenthal	1559	1078	14	1064	192	364	388	40	41	22	10	1	6	0	0						
G41404	Diersbach	1294	930	6	924	169	357	304	30	25	25	6	1	7	0	0						
G41405	Dorf an der Pram	842	612	4	608	99	316	145	7	25	10	0	1	0	1	4						
G41406	Eggerding	1058	800	7	793	104	338	282	10	27	20	5	0	4	3	0						
G41407	Engelhartszell	766	449	2	447	84	164	150	14	13	14	6	0	2	0	0						
G41408	Enzenkirchen	1450	1035	14	1021	181	327	433	8	33	29	6	1	1	2	0						
G41409	Esternberg	2359	1674	24	1650	217	670	623	35	48	40	10	2	0	4	1						
G41410	Freinberg	1010	603	6	597	103	292	165	13	9	8	2	0	1	3	1						
G41411	Kopfing im Innkreis	1625	1179	15	1164	152	466	463	23	23	21	7	2	5	2	0						
G41412	Mayrhof	244	197	2	195	21	103	64	1	4	0	1	0	0	1	0						
G41413	Münzkirchen	2126	1499	17	1482	224	593	537	33	40	33	12	1	3	5	1						
G41414	Raab	1796	1267	17	1250	185	448	495	46	43	17	5	1	8	2	0						
G41415	Rainbach im Innkreis	1175	895	14	881	143	354	306	20	30	18	5	0	3	2	0						
G41416	Riedau	1602	1008	15	993	285	274	319	31	43	32	8	0	1	0	0						
G41417	St. Aegidi	1288	987	13	974	119	442	352	21	19	7	8	2	3	1	0						
G41418	St. Florian am Inn	2331	1593	7	1586	390	520	540	28	50	38	8	3	8	1	0						
G41419	St. Marienkirchen bei Schärding	1431	943	5	938	130	381	356	12	24	22	6	0	4	3	0						
G41420	St. Roman	1455	1102	18	1084	90	469	444	11	43	18	5	0	3	1	0						
G41421	St. Willibald	942	732	11	721	109	242	303	22	20	15	6	1	3	0	0						
G41422	Schärding	3778	2173	20	2153	613	603	688	68	75	73	25	0	4	4	0						
G41423	Schardenberg	1722	1247	11	1236	142	610	382	26	53	14	6	0	3	0	0						
G41424	Sigharting	668	504	6	498	49	222	195	5	19	3	4	0	1	0	0						
G41425	Suben	938	617	6	611	131	238	182	16	21	18	4	0	0	0	1						
G41426	Taufkirchen an der Pram	2317	1613	15	1598	354	548	578	31	57	21	4	0	4	1	0						
G41427	Vichtenstein	457	322	3	319	35	142	117	6	11	4	3	0	1	0	0						
G41428	Waldkirchen am Wesen	995	746	15	731	150	339	195	9	17	15	5	0	1	0	0						
G41429	Wernstein am Inn	1219	845	10	835	183	337	249	13	31	13	3	4	0	2	0						
G41430	Zell an der Pram	1561	1116	20	1096	180	496	281	46	38	32	14	1	5	3	0						
G41499	Wahlkarten - Schärding	0	5613	50	5563	1230	2198	1333	268	270	157	53	4	36	10	4						
G41500	Steyr-Land	48067	40829	476	40353	11359	13530	10306	1227	1788	1384	457	39	182	76	5						
G41501	Adlwang	1432	990	20	970	161	429	273	23	41	28	11	0	2	2	0						
G41502	Aschach an der Steyr	1868	1345	23	1322	356	480	275	50	93	50	8	1	7	2	0						
G41503	Bad Hall	3981	2537	45	2492	636	818	687	85	121	105	24	2	10	4	0						
G41504	Dietach	2469	1849	25	1824	545	605	415	89	83	62	18	0	6	1	0						
G41505	Gaflenz	1517	1141	10	1131	226	488	311	19	51	16	17	0	3	0	0						
G41506	Garsten	5287	3708	42	3666	1011	1133	993	161	154	137	47	3	18	8	1						
G41507	Großraming	2187	1649	20	1629	504	592	372	47	51	39	13	3	4	4	0						
G41508	Laussa	1023	817	13	804	194	305	235	13	18	27	10	1	1	0	0						
G41509	Losenstein	1294	897	6	891	294	279	230	31	25	17	8	1	2	4	0						
G41510	Maria Neustift	1282	1001	14	987	139	466	302	10	26	21	14	3	3	3	0						
G41511	Pfarrkirchen bei Bad Hall	1796	1288	9	1279	346	422	364	28	58	35	15	0	8	3	0						
G41512	Reichraming	1471	1096	13	1083	514	214	276	19	23	19	9	3	3	3	0						
G41513	Rohr im Kremstal	1067	741	3	738	174	273	212	13	30	28	6	0	0	2	0						
G41514	St. Ulrich bei Steyr	2461	1760	20	1740	414	652	438	58	75	69	25	2	4	3	0						
G41515	Schiedlberg	996	708	6	702	104	398	144	9	25	19	2	0	1	0	0						
G41516	Sierning	7358	5318	67	5251	1790	1347	1540	99	203	176	58	5	28	4	1						
G41517	Ternberg	2782	1998	24	1974	553	651	510	51	100	76	17	3	8	5	0						
G41518	Waldneukirchen	1779	1317	11	1306	274	500	358	34	69	41	17	1	8	4	0						
G41521	Wolfern	2587	1814	16	1798	469	684	463	34	65	57	17	0	7	2	0						
G41522	Weyer	3430	2398	26	2372	777	664	658	65	79	83	27	3	13	3	0						
G41599	Wahlkarten - Steyr-Land	0	6457	63	6394	1878	2130	1250	289	398	279	94	8	46	19	3						
G41600	Urfahr-Umgebung	67796	58666	738	57928	15022	20848	12146	2834	3459	2450	651	41	374	94	9						
G41601	Alberndorf in der Riedmark	3190	2395	45	2350	514	868	672	71	102	74	34	0	10	5	0						
G41602	Altenberg bei Linz	3601	2706	36	2670	534	1243	503	118	157	84	18	2	9	2	0						
G41603	Bad Leonfelden	3295	2424	44	2380	446	1044	592	61	123	77	24	5	7	1	0						
G41604	Eidenberg	1682	1254	23	1231	241	586	231	40	65	41	16	0	7	4	0						
G41605	Engerwitzdorf	7034	5153	64	5089	1429	1588	1207	224	297	243	60	8	26	7	0						
G41606	Feldkirchen an der Donau	4398	3213	49	3164	925	999	821	108	149	120	19	1	16	6	0						
G41607	Gallneukirchen	5196	3553	34	3519	1249	951	645	202	241	157	44	0	22	6	2						
G41608	Goldwörth	697	492	4	488	105	190	121	24	28	13	5	1	1	0	0						
G41609	Gramastetten	4148	2911	35	2876	647	1127	561	135	224	123	29	5	18	6	1						
G41610	Haibach im Mühlkreis	742	545	10	535	118	208	129	15	27	26	8	1	1	2	0						
G41611	Hellmonsödt	1820	1252	12	1240	317	431	294	49	94	38	10	0	6	1	0						
G41612	Herzogsdorf	2075	1456	22	1434	257	629	377	43	57	51	12	0	7	1	0						
G41613	Kirchschlag bei Linz	1705	1177	14	1163	262	443	259	54	75	47	13	1	9	0	0						
G41614	Lichtenberg	2154	1561	12	1549	384	600	262	82	122	77	14	1	7	0	0						
G41615	Oberneukirchen	2592	1876	32	1844	351	752	457	93	104	43	26	2	13	3	0						
G41616	Ottenschlag im Mühlkreis	425	334	4	330	75	138	92	9	5	5	4	0	2	0	0						
G41617	Ottensheim	3676	2590	22	2568	750	798	388	252	170	139	38	2	27	4	0						
G41618	Puchenau	3669	2452	19	2433	728	755	420	132	199	160	16	0	19	3	1						
G41619	Reichenau im Mühlkreis	1048	778	15	763	168	289	199	24	27	39	10	0	6	1	0						
G41620	Reichenthal	1187	895	12	883	201	388	200	20	39	14	11	1	6	3	0						
G41621	St. Gotthard im Mühlkreis	1076	772	9	763	199	273	174	33	41	34	6	0	3	0	0						
G41622	Schenkenfelden	1287	929	22	907	170	475	180	12	45	17	4	1	3	0	0						
G41623	Sonnberg im Mühlkreis	773	595	8	587	147	207	142	22	33	24	9	0	1	2	0						
G41624	Steyregg	3893	2809	13	2796	975	761	692	89	142	95	26	1	10	4	1						
G41625	Vorderweißenbach	1693	1254	27	1227	186	622	301	35	40	20	13	1	8	1	0						
G41626	Walding	3370	2375	32	2343	737	789	442	119	120	84	32	0	17	3	0						
G41627	Zwettl an der Rodl	1370	1051	13	1038	237	408	201	73	56	45	9	2	6	1	0						
G41699	Wahlkarten - Urfahr-Umgebung	0	9864	106	9758	2670	3286	1584	695	677	560	141	6	107	28	4						
G41700	Vöcklabruck	102530	84196	1060	83136	20812	26941	23236	3070	3858	3363	788	84	425	547	12						
G41701	Ampflwang im Hausruckwald	2617	1881	24	1857	742	377	562	29	63	50	24	1	1	8	0						
G41702	Attersee am Attersee	1291	846	9	837	218	307	174	28	65	30	2	0	9	4	0						
G41703	Attnang-Puchheim	5803	3533	35	3498	1348	704	1027	118	108	126	28	2	23	13	1						
G41704	Atzbach	939	733	16	717	72	315	242	22	34	22	4	0	2	4	0						
G41705	Aurach am Hongar	1363	999	11	988	228	261	371	14	22	30	13	2	6	41	0						
G41706	Berg im Attergau	806	588	7	581	69	301	153	15	21	15	3	0	2	2	0						
G41707	Desselbrunn	1442	1057	19	1038	284	346	312	18	39	28	6	2	3	0	0						
G41708	Fornach	762	591	17	574	65	295	161	8	17	10	9	1	0	8	0						
G41709	Frankenburg am Hausruck	3905	2952	59	2893	794	846	952	62	103	79	29	7	3	17	1						
G41710	Frankenmarkt	2725	1983	38	1945	416	699	591	55	86	67	13	3	7	8	0						
G41711	Gampern	2297	1750	37	1713	324	621	481	68	72	103	15	0	8	21	0						
G41712	Innerschwand am Mondsee	917	613	4	609	56	311	137	35	31	29	2	0	6	2	0						
G41713	Lenzing	3885	2652	42	2610	978	413	918	61	78	110	25	1	10	16	0						
G41714	Manning	655	485	7	478	116	164	117	18	20	27	7	0	5	4	0						
G41715	Mondsee	2556	1462	8	1454	285	542	360	66	98	70	18	3	9	2	1						
G41716	Neukirchen an der Vöckla	2068	1533	24	1509	309	558	454	43	60	58	14	0	10	3	0						
G41717	Niederthalheim	864	682	6	676	87	251	233	29	32	21	14	0	4	5	0						
G41718	Nußdorf am Attersee	908	605	9	596	80	270	168	10	33	23	5	1	2	4	0						
G41719	Oberhofen am Irrsee	1228	879	15	864	163	382	226	19	37	29	3	3	1	1	0						
G41720	Oberndorf bei Schwanenstadt	1120	837	11	826	217	223	295	27	30	22	7	2	1	2	0						
G41721	Oberwang	1328	950	14	936	61	501	302	10	32	12	6	1	3	8	0						
G41722	Ottnang am Hausruck	3060	2205	30	2175	580	649	721	62	72	53	20	0	6	11	1						
G41723	Pfaffing	1178	857	16	841	242	275	215	23	37	23	9	2	3	12	0						
G41724	Pilsbach	531	389	5	384	110	145	88	11	15	7	0	0	3	5	0						
G41725	Pitzenberg	420	327	3	324	75	124	92	7	8	12	1	0	1	4	0						
G41726	Pöndorf	1862	1310	22	1288	261	508	423	9	28	38	9	0	6	6	0						
G41727	Puchkirchen am Trattberg	792	602	8	594	130	238	130	10	38	33	3	0	4	8	0						
G41728	Pühret	494	369	9	360	86	123	113	18	9	7	1	0	2	1	0						
G41729	Redleiten	410	267	6	261	55	81	101	9	5	4	1	2	1	2	0						
G41730	Redlham	1211	872	12	860	237	272	249	28	30	28	9	0	5	2	0						
G41731	Regau	5056	3707	43	3664	992	1004	1131	131	148	133	42	4	21	58	0						
G41732	Rüstorf	1661	1146	13	1133	292	325	388	32	46	37	9	3	0	0	1						
G41733	Rutzenham	219	163	3	160	20	69	41	9	8	6	0	1	2	3	1						
G41734	St. Georgen im Attergau	3165	2180	34	2146	370	753	706	66	119	102	18	2	5	5	0						
G41735	St. Lorenz	1866	1237	18	1219	164	550	321	43	71	49	13	0	3	5	0						
G41736	Schlatt	1106	706	10	696	160	230	210	27	27	31	6	3	0	2	0						
G41737	Schörfling am Attersee	2729	1771	11	1760	497	461	514	65	95	82	15	2	13	14	2						
G41738	Schwanenstadt	2930	1968	19	1949	540	517	597	106	93	59	19	2	9	7	0						
G41739	Seewalchen am Attersee	4373	2995	31	2964	885	796	814	102	159	135	33	2	13	25	0						
G41740	Steinbach am Attersee	671	481	8	473	86	194	98	34	25	23	1	0	2	10	0						
G41741	Straß im Attergau	1136	830	15	815	114	321	292	17	33	18	8	1	4	7	0						
G41742	Tiefgraben	2933	1799	17	1782	271	815	474	45	97	62	11	1	2	4	0						
G41743	Timelkam	4408	3141	50	3091	1001	781	859	95	138	151	34	4	11	17	0						
G41744	Ungenach	1187	921	8	913	149	362	267	37	45	31	6	0	4	12	0						
G41745	Unterach am Attersee	1126	632	12	620	154	273	119	14	25	19	8	0	4	4	0						
G41746	Vöcklabruck	9002	5905	45	5860	1779	1589	1521	256	293	294	48	3	44	31	2						
G41747	Vöcklamarkt	3744	2691	46	2645	619	947	739	72	115	99	33	3	9	9	0						
G41748	Weißenkirchen im Attergau	768	585	2	583	74	282	184	12	11	9	2	0	5	4	0						
G41749	Weyregg am Attersee	1306	822	4	818	189	302	206	33	42	25	9	0	4	8	0						
G41750	Wolfsegg am Hausruck	1520	1016	10	1006	301	300	282	40	36	31	8	0	7	1	0						
G41751	Zell am Moos	1202	812	11	801	108	361	205	17	61	33	6	3	0	7	0						
G41752	Zell am Pettenfirst	985	660	6	654	129	230	177	38	32	25	8	0	4	11	0						
G41799	Wahlkarten - Vöcklabruck	0	13219	121	13098	3230	4377	2723	847	816	743	151	17	113	79	2						
G41800	Wels-Land	54005	44999	473	44526	11017	13637	13835	1353	2416	1473	450	45	191	103	6						
G41801	Aichkirchen	441	310	5	305	31	149	87	6	20	4	7	1	0	0	0						
G41802	Bachmanning	510	369	4	365	82	126	113	17	15	7	4	0	0	1	0						
G41803	Bad Wimsbach-Neydharting	1977	1431	18	1413	358	529	388	27	52	39	10	0	5	5	0						
G41804	Buchkirchen	3274	2352	30	2322	638	637	740	68	117	81	31	1	3	6	0						
G41805	Eberstalzell	1985	1401	22	1379	176	565	475	32	70	37	16	1	4	3	0						
G41806	Edt bei Lambach	1710	1215	8	1207	304	378	419	24	40	23	13	0	5	1	0						
G41807	Fischlham	1084	798	8	790	170	308	216	15	32	36	8	0	2	3	0						
G41808	Gunskirchen	4610	3311	32	3279	810	1018	1046	85	168	98	27	7	14	6	0						
G41809	Holzhausen	738	510	6	504	120	140	176	10	35	16	5	0	2	0	0						
G41810	Krenglbach	2459	1834	20	1814	541	546	486	50	119	42	19	1	6	4	0						
G41811	Lambach	2354	1409	13	1396	375	370	453	45	87	34	15	2	10	4	1						
G41812	Marchtrenk	9528	6775	80	6695	2131	1386	2363	146	308	226	71	8	36	19	1						
G41813	Neukirchen bei Lambach	717	496	8	488	79	202	150	13	23	12	7	0	1	1	0						
G41814	Offenhausen	1256	985	14	971	169	366	310	20	69	22	13	0	2	0	0						
G41815	Pennewang	709	505	5	500	68	248	125	16	19	16	3	0	3	2	0						
G41816	Pichl bei Wels	2201	1630	11	1619	352	548	503	63	71	58	15	2	5	2	0						
G41817	Sattledt	1910	1339	17	1322	273	441	452	15	79	37	16	1	5	3	0						
G41818	Schleißheim	1014	753	10	743	168	249	209	29	39	27	12	2	4	2	2						
G41819	Sipbachzell	1507	1130	11	1119	198	419	348	10	90	36	12	1	3	2	0						
G41820	Stadl-Paura	3613	2254	22	2232	650	430	895	66	83	72	16	3	14	3	0						
G41821	Steinerkirchen an der Traun	1869	1400	16	1384	194	600	404	49	68	37	18	0	5	9	0						
G41822	Steinhaus	1688	1155	11	1144	215	333	461	28	66	32	5	0	2	1	1						
G41823	Thalheim bei Wels	4223	2840	25	2815	693	881	773	128	185	116	22	3	8	6	0						
G41824	Weißkirchen an der Traun	2628	1949	22	1927	494	596	576	38	121	74	12	2	11	3	0						
G41899	Wahlkarten - Wels-Land	0	6848	55	6793	1728	2172	1667	353	440	291	73	10	41	17	1						
G50000	Salzburg	395723	319159	3376	315783	70191	119072	77120	12714	17985	11149	2778	2202	1928	644							
G50099	Wahlkarten - Salzburg	0	14	14	0	0	0	0	0	0	0	0	0	0	0							
G5A000	Salzburg Stadt	99914	74976	601	74375	19571	23379	15111	5026	5172	3951	760	371	922	112							
G5A099	Wahlkarten - Salzburg Stadt	0	726	1	725	179	221	58	70	113	58	6	3	16	1							
G5B000	Flachgau/Tennengau	157060	130478	1457	129021	25652	51373	31359	5294	7786	4635	1329	556	705	332							
G5B099	Wahlkarten - Flachgau/Tennengau	0	695	5	690	172	191	88	67	100	53	7	2	8	2							
G5C000	Lungau/Pinzgau/Pongau	138749	113691	1304	112387	24968	44320	30650	2394	5027	2563	689	1275	301	200							
G5C099	Wahlkarten - Lungau/Pinzgau/Pongau	0	470	3	467	91	157	68	34	63	34	8	4	7	1							
G50100	Salzburg(Stadt)	99914	74250	600	73650	19392	23158	15053	4956	5059	3893	754	368	906	111							
G50101	Salzburg	99914	61113	542	60571	16141	18585	13367	3657	3972	3105	614	311	720	99							
G50199	Wahlkarten - Salzburg(Stadt)	0	13137	58	13079	3251	4573	1686	1299	1087	788	140	57	186	12							
G50200	Hallein	43433	35887	425	35462	7915	13860	8225	1373	2003	1254	330	173	197	132							
G50201	Abtenau	4461	3455	61	3394	729	1668	696	46	140	68	24	15	2	6							
G50202	Adnet	2833	2182	34	2148	400	975	475	48	123	69	11	13	12	22							
G50203	Annaberg-Lungötz	1695	1370	23	1347	269	678	310	10	36	22	7	6	6	3							
G50204	Golling an der Salzach	3072	2236	26	2210	518	783	526	77	150	83	24	27	14	8							
G50205	Hallein	14023	9508	107	9401	2624	2589	2615	411	570	367	95	38	69	23							
G50206	Krispl	702	579	5	574	86	289	160	9	15	1	7	0	2	5							
G50207	Kuchl	5404	3957	38	3919	704	1763	855	165	204	148	26	12	21	21							
G50208	Oberalm	3186	2286	21	2265	503	832	508	124	136	108	21	15	16	2							
G50209	Puch bei Hallein	3430	2407	28	2379	542	903	537	97	157	90	15	8	22	8							
G50210	Rußbach am Paß Gschütt	639	494	7	487	135	217	106	5	13	2	5	2	2	0							
G50211	Sankt Koloman	1318	1068	22	1046	106	598	246	9	49	21	7	4	3	3							
